Date,nifty_log_return,vix_change,india_term_spread,asia_em_credit_oas
2011-12-01,0.021456727931786077,-1.529998779296875,-0.2699999999999996,4.53
2011-12-02,0.02269043070647762,-1.0300006866455078,-0.2699999999999996,4.53
2011-12-05,-0.00218052879217037,1.0300006866455078,-0.2699999999999996,4.52
2011-12-07,0.004642806926756286,1.4399986267089844,-0.2699999999999996,4.5
2011-12-08,-0.023776299598409673,2.1200008392333984,-0.2699999999999996,4.5
2011-12-09,-0.01568777554509722,0.9500007629394531,-0.2699999999999996,4.52
2011-12-12,-0.02120252082692823,-0.26000022888183594,-0.2699999999999996,4.53
2011-12-13,0.007527321801210558,-1.1599998474121094,-0.2699999999999996,4.54
2011-12-14,-0.007810722075448438,0.6800003051757812,-0.2699999999999996,4.57
2011-12-15,-0.003554286186905766,0.019998550415039062,-0.2699999999999996,4.59
2011-12-16,-0.02016465475128,0.8800010681152344,-0.2699999999999996,4.59
2011-12-19,-0.008311164053918654,0.8899993896484375,-0.2699999999999996,4.61
2011-12-20,-0.015048365861574937,-0.049999237060546875,-0.2699999999999996,4.6
2011-12-21,0.03225224047519715,-3.0,-0.2699999999999996,4.6
2011-12-22,0.00863486755049247,-0.6900005340576172,-0.2699999999999996,4.59
2011-12-23,-0.00420204102712772,0.5499992370605469,-0.2699999999999996,4.56
2011-12-27,0.007713071150727649,-0.3099994659423828,-0.2699999999999996,4.58
2011-12-28,-0.00945412670476182,0.4499988555908203,-0.2699999999999996,4.59
2011-12-29,-0.012735306330580514,-0.11999893188476562,-0.2699999999999996,4.57
2011-12-30,-0.004735476707182386,0.48999977111816406,-0.2699999999999996,4.57
2012-01-03,0.03003548729238125,-1.3700008392333984,-0.8049999999999997,4.47
2012-01-04,-0.0032895426540406015,0.25,-0.8049999999999997,4.46
2012-01-05,6.322223372845206e-05,-0.5,-0.8049999999999997,4.46
2012-01-06,0.0008732913820035912,-0.4500007629394531,-0.8049999999999997,4.47
2012-01-09,-0.0023797867552800087,0.220001220703125,-0.8049999999999997,4.48
2012-01-10,0.022258239444290267,-1.6800003051757812,-0.8049999999999997,4.49
2012-01-11,0.002348055375701594,0.5400009155273438,-0.8049999999999997,4.51
2012-01-12,-0.006128698887331798,-0.5100002288818359,-0.8049999999999997,4.5
2012-01-13,0.0071670110077358545,-0.5500011444091797,-0.8049999999999997,4.49
2012-01-16,0.0016221735654996564,0.5900001525878906,-0.8049999999999997,4.49
2012-01-17,0.01898197568577206,-1.4599990844726562,-0.8049999999999997,4.47
2012-01-18,-0.0023178251959906026,0.06999969482421875,-0.8049999999999997,4.44
2012-01-19,0.012552569924145546,-1.0,-0.8049999999999997,4.4
2012-01-20,0.005999858132263353,0.279998779296875,-0.8049999999999997,4.37
2012-01-23,-0.000465603288007518,0.18000030517578125,-0.8049999999999997,4.35
2012-01-24,0.015943582375194214,-0.7199993133544922,-0.8049999999999997,4.36
2012-01-25,0.006018054422187115,-0.39999961853027344,-0.8049999999999997,4.37
2012-01-27,0.008955071062037441,0.6800003051757812,-0.8049999999999997,4.28
2012-01-30,-0.022814901479942987,1.7599983215332031,-0.8049999999999997,4.28
2012-01-31,0.021767184851403856,-0.7999992370605469,-0.8049999999999997,4.25
2012-02-01,0.006986203648760355,0.22999954223632812,-0.7774999999999999,4.22
2012-02-02,0.006510780445565732,0.8000011444091797,-0.7774999999999999,4.2
2012-02-03,0.01056097309606885,0.39999961853027344,-0.7774999999999999,4.15
2012-02-06,0.006699403711750445,0.5300006866455078,-0.7774999999999999,4.14
2012-02-07,-0.004954763050203981,0.28999900817871094,-0.7774999999999999,4.11
2012-02-08,0.006166342187456197,-0.6399993896484375,-0.7774999999999999,4.09
2012-02-09,0.008200072906646953,-0.970001220703125,-0.7774999999999999,4.03
2012-02-10,-0.005697651486356129,0.5300006866455078,-0.7774999999999999,4.01
2012-02-13,0.0015967803430544996,-0.12000083923339844,-0.7774999999999999,4.0
2012-02-14,0.004784205192390807,-1.0,-0.7774999999999999,4.01
2012-02-15,0.02117367933441728,-0.6099987030029297,-0.7774999999999999,4.02
2012-02-16,-0.001809316598601389,1.2299995422363281,-0.7774999999999999,4.02
2012-02-17,0.007640061404398583,0.8500003814697266,-0.7774999999999999,4.0
2012-02-21,0.007671396090022358,2.0699996948242188,-0.7774999999999999,3.95
2012-02-22,-0.018322187184283887,0.5499992370605469,-0.7774999999999999,3.93
2012-02-23,-0.004013290579059847,-2.469999313354492,-0.7774999999999999,3.91
2012-02-24,-0.009896897659749845,0.48999977111816406,-0.7774999999999999,3.88
2012-02-27,-0.027656794612663387,2.559999465942383,-0.7774999999999999,3.89
2012-02-28,0.01769821133763864,-1.529998779296875,-0.7774999999999999,3.87
2012-02-29,0.0018028934481800647,1.0799999237060547,-0.7774999999999999,3.75
2012-03-01,-0.008475650994548561,0.7399997711181641,-0.645999999999999,3.71
2012-03-02,0.0036638818972382233,0.1700000762939453,-0.645999999999999,3.69
2012-03-05,-0.01485031539972594,1.0799999237060547,-0.645999999999999,3.65
2012-03-06,-0.01103535424618985,-1.5799999237060547,-0.645999999999999,3.68
2012-03-07,-0.0003734051596396779,-1.010000228881836,-0.645999999999999,3.69
2012-03-09,0.021433378638431977,-0.8600006103515625,-0.645999999999999,3.6
2012-03-12,0.004862958765541654,0.8000011444091797,-0.645999999999999,3.6
